Year,Temperature
1765,-0.033464226
1766,-0.02460252
1767,-0.008097023
1768,0.002823303
1769,0.006480777
1770,0.007336082
1771,0.010301684
1772,0.013715178
1773,0.014695053
1774,0.013886187
1775,0.011418828
1776,0.009496112
1777,0.010813526
1778,0.014076748
1779,0.016915374
1780,0.01747626
1781,0.016935126
1782,0.013100753
1783,-0.000303814
1784,-0.017475709
1785,-0.024622903
1786,-0.018104463
1787,-0.008571883
1788,-0.002111977
1789,-0.006556664
1790,-0.023952032
1791,-0.03694641
1792,-0.034647243
1793,-0.027976591
1794,-0.023917574
1795,-0.024327975
1796,-0.026965336
1797,-0.026456946
1798,-0.024685508
1799,-0.023208951
1800,-0.020801836
1801,-0.017608877
1802,-0.016074616
1803,-0.015893415
1804,-0.015179461
1805,-0.014827347
1806,-0.015223817
1807,-0.016273584
1808,-0.058297495
1809,-0.186404667
1810,-0.317097266
1811,-0.346024067
1812,-0.30769803
1813,-0.264761373
1814,-0.281818424
1815,-0.42142849
1816,-0.571319372
1817,-0.583439597
1818,-0.493693734
1819,-0.392647376
1820,-0.313738141
1821,-0.258292272
1822,-0.219485304
1823,-0.189407483
1824,-0.165479482
1825,-0.145298877
1826,-0.128236451
1827,-0.111222767
1828,-0.096542745
1829,-0.086884858
1830,-0.096816306
1831,-0.13629054
1832,-0.17335474
1833,-0.174363029
1834,-0.18562223
1835,-0.245976305
1836,-0.284817416
1837,-0.260187979
1838,-0.208809988
1839,-0.163262264
1840,-0.132818284
1841,-0.113482376
1842,-0.098030693
1843,-0.088583682
1844,-0.080951182
1845,-0.069832507
1846,-0.056127254
1847,-0.041696981
1848,-0.027937821
1849,-0.018797323
1850,-0.013889446
1851,-0.009591522
1852,-0.004884173
1853,-0.001458569
1854,0.00117419
1855,-0.007992503
1856,-0.052222197
1857,-0.105160978
1858,-0.114287709
1859,-0.089172631
1860,-0.060560529
1861,-0.043069342
1862,-0.039826801
1863,-0.037543219
1864,-0.029194426
1865,-0.019393436
1866,-0.011680175
1867,-0.005763469
1868,0.000861107
1869,0.009234786
1870,0.018392746
1871,0.025403104
1872,0.026814273
1873,0.02318546
1874,0.01951281
1875,0.015709176
1876,0.009497847
1877,0.005686991
1878,0.006240243
1879,0.010198774
1880,0.015733551
1881,0.021534872
1882,0.018872335
1883,-0.058677965
1884,-0.180612052
1885,-0.221735283
1886,-0.207503187
1887,-0.188292012
1888,-0.16839334
1889,-0.161347157
1890,-0.160407982
1891,-0.152511956
1892,-0.129780503
1893,-0.098083524
1894,-0.064548382
1895,-0.041606652
1896,-0.039169218
1897,-0.045385082
1898,-0.040375848
1899,-0.025531842
1900,-0.009882281
1901,0.000100911
1902,-0.028615189
1903,-0.081220068
1904,-0.092841019
1905,-0.067995163
1906,-0.041200444
1907,-0.024588736
1908,-0.010954169
1909,0.00454703
1910,0.017654955
1911,0.027940138
1912,0.016358063
1913,0.000277226
1914,0.009447259
1915,0.031481326
1916,0.05309748
1917,0.072397047
1918,0.087215734
1919,0.096329237
1920,0.095577809
1921,0.093432319
1922,0.099830797
1923,0.107256828
1924,0.112386671
1925,0.120060271
1926,0.130167125
1927,0.139406764
1928,0.143184052
1929,0.141603721
1930,0.14285416
1931,0.146848724
1932,0.147261276
1933,0.148051268
1934,0.155034169
1935,0.164125887
1936,0.176972874
1937,0.187958861
1938,0.196506237
1939,0.203437845
1940,0.210928353
1941,0.216609293
1942,0.218932068
1943,0.219095101
1944,0.2231234
1945,0.230659893
1946,0.239843199
1947,0.248689065
1948,0.256775927
1949,0.261894282
1950,0.263061944
1951,0.261225025
1952,0.257910188
1953,0.255134276
1954,0.253922993
1955,0.25925582
1956,0.270942605
1957,0.285805257
1958,0.29872167
1959,0.307264556
1960,0.307661849
1961,0.297658103
1962,0.282068213
1963,0.231491503
1964,0.163575213
1965,0.144286857
1966,0.167596909
1967,0.199630583
1968,0.207966954
1969,0.208694828
1970,0.232397715
1971,0.266833095
1972,0.297459466
1973,0.315515946
1974,0.317681015
1975,0.311778754
1976,0.322399419
1977,0.348829107
1978,0.375705091
1979,0.40184714
1980,0.430565582
1981,0.447522433
1982,0.402894168
1983,0.342404694
1984,0.345145633
1985,0.375980963
1986,0.406058562
1987,0.435002168
1988,0.467895255
1989,0.503285421
1990,0.534144856
1991,0.480734483
1992,0.388562832
1993,0.383062014
1994,0.430030321
1995,0.48205831
1996,0.527022804
1997,0.565629921
1998,0.603549779
1999,0.64075052
2000,0.674672309
2001,0.703701156
2002,0.728018199
2003,0.746611336
2004,0.761224416
2005,0.770058286
2006,0.771370229
2007,0.770870704
2008,0.776480246
2009,0.789557206
2010,0.811575647
2011,0.835928939
2012,0.859413111
2013,0.880711936
2014,0.898144963
2015,0.911494543
2016,0.924778849
2017,0.937219485
2018,0.950854029
2019,0.965322309
2020,0.983997545
2021,1.007577098
2022,1.032165592
2023,1.054329941
2024,1.073119884
2025,1.086460961
2026,1.096417887
2027,1.104870248
2028,1.112987204
2029,1.121418889
2030,1.130352182
2031,1.143402778
2032,1.162041887
2033,1.181269955
2034,1.197699543
2035,1.210495234
2036,1.218612954
2037,1.223277827
2038,1.225468216
2039,1.228248064
2040,1.230591239
2041,1.232995415
2042,1.239601806
2043,1.251848862
2044,1.264643249
2045,1.274840978
2046,1.281222608
2047,1.282342802
2048,1.280161312
2049,1.276433131
2050,1.272480872
2051,1.268641943
2052,1.264600553
2053,1.265110111
2054,1.270722986
2055,1.277519863
2056,1.282362
2057,1.283924194
2058,1.280390201
2059,1.273732606
2060,1.265349721
2061,1.257726054
2062,1.250272366
2063,1.243342912
2064,1.241102923
2065,1.244653191
2066,1.249676126
2067,1.252633209
2068,1.252898091
2069,1.248324533
2070,1.240297477
2071,1.231362678
2072,1.222472723
2073,1.214525071
2074,1.206695032
2075,1.204744925
2076,1.208617287
2077,1.21367778
2078,1.216350897
2079,1.216971987
2080,1.212537791
2081,1.204310383
2082,1.195588869
2083,1.18731345
2084,1.179626723
2085,1.172305949
2086,1.169940369
2087,1.173872717
2088,1.178906161
2089,1.182015133
2090,1.182452782
2091,1.178040692
2092,1.170106635
2093,1.160652292
2094,1.152056289
2095,1.143441847
2096,1.136262994
2097,1.134149665
2098,1.137877698
2099,1.142378168
2100,1.145371673
2101,1.145110838
2102,1.140197824
2103,1.132163502
2104,1.122123303
2105,1.11270623
2106,1.104573035
2107,1.096899771
2108,1.094193846
2109,1.09703567
2110,1.100685272
2111,1.103415591
2112,1.102746228
2113,1.097506053
2114,1.088889895
2115,1.079136262
2116,1.070344707
2117,1.061644492
2118,1.053958561
2119,1.050591743
2120,1.053979829
2121,1.058551867
2122,1.060722638
2123,1.060830809
2124,1.055492984
2125,1.047433884
2126,1.038277315
2127,1.02903733
2128,1.020480724
2129,1.012800478
2130,1.010303831
2131,1.013096152
2132,1.017269145
2133,1.020120116
2134,1.019801308
2135,1.014981402
2136,1.006860122
2137,0.997482168
2138,0.988645845
2139,0.98057854
2140,0.973182134
2141,0.970660021
2142,0.974274274
2143,0.978852549
2144,0.981903888
2145,0.981915611
2146,0.977146058
2147,0.969291048
2148,0.960898088
2149,0.952532935
2150,0.944589969
2151,0.937435557
2152,0.93538489
2153,0.938764623
2154,0.943600513
2155,0.947448258
2156,0.947305925
2157,0.942789721
2158,0.935015153
2159,0.926915914
2160,0.91847987
2161,0.910907874
2162,0.90404764
2163,0.902217683
2164,0.906550014
2165,0.911366458
2166,0.914984077
2167,0.915017322
2168,0.911084105
2169,0.90309418
2170,0.894464789
2171,0.88650684
2172,0.8791183
2173,0.872867869
2174,0.871336449
2175,0.875254538
2176,0.88030909
2177,0.883858831
2178,0.884573296
2179,0.880887562
2180,0.873934853
2181,0.865438607
2182,0.857579809
2183,0.85039452
2184,0.843668386
2185,0.841712495
2186,0.846037832
2187,0.85167537
2188,0.856037669
2189,0.856114076
2190,0.852552231
2191,0.845307221
2192,0.837014923
2193,0.829806348
2194,0.822599821
2195,0.816210617
2196,0.814577611
2197,0.818753188
2198,0.825048677
2199,0.829052034
2200,0.829678104
2201,0.825767667
2202,0.818564705
2203,0.810225162
2204,0.803254987
2205,0.796116697
2206,0.78972493
2207,0.788263146
2208,0.792688931
2209,0.798976575
2210,0.802949903
2211,0.803886305
2212,0.800292685
2213,0.793726519
2214,0.786137101
2215,0.778898629
2216,0.771877843
2217,0.765641456
2218,0.764303043
2219,0.769175094
2220,0.774974497
2221,0.779010501
2222,0.780126038
2223,0.776475693
2224,0.769865534
2225,0.76202231
2226,0.755003378
2227,0.74802238
2228,0.742035456
2229,0.740569551
2230,0.745768222
2231,0.751646246
2232,0.756094088
2233,0.757270644
2234,0.753893702
2235,0.746794033
2236,0.739147391
2237,0.731971611
2238,0.72550521
2239,0.719797394
2240,0.718011987
2241,0.7227904
2242,0.729369941
2243,0.733558677
2244,0.735039986
2245,0.731488775
2246,0.725015261
2247,0.717551321
2248,0.710548298
2249,0.703682979
2250,0.69788517
2251,0.696745166
2252,0.701565369
2253,0.707648399
2254,0.712312935
2255,0.713560167
2256,0.710563281
2257,0.704200041
2258,0.696518527
2259,0.689319487
2260,0.68311302
2261,0.677182048
2262,0.676098887
2263,0.680977206
2264,0.687411619
2265,0.692225128
2266,0.694018475
2267,0.690881225
2268,0.684246157
2269,0.676011709
2270,0.669216164
2271,0.662805641
2272,0.656986057
2273,0.656652876
2274,0.661727564
2275,0.667017537
2276,0.671911364
2277,0.673508803
2278,0.67011464
2279,0.663721876
2280,0.656827852
2281,0.649760746
2282,0.643698944
2283,0.637682563
2284,0.6368238
2285,0.642397766
2286,0.648149452
2287,0.652798638
2288,0.653885401
2289,0.651181183
2290,0.644817
2291,0.637873905
2292,0.630735385
2293,0.624288625
2294,0.618148995
2295,0.617984461
2296,0.62309187
2297,0.629848352
2298,0.634595807
2299,0.636104434
2300,0.633189394
